,address_full,price,count_beds,count_baths,sq_ft,days_on_zillow,address,city,state_zip,state_abrev,zip_code,date_scraped
717,"4801 Lakemont Dr, Raleigh, NC 27609","$1,675,000",5,5,"3,974",1,4801 Lakemont Dr, Raleigh,NC 27609,NC,27609,2022-12-03
718,"1516 Joe Louis Ave, Raleigh, NC 27610","$525,000",3,3,"1,638",5,1516 Joe Louis Ave, Raleigh,NC 27610,NC,27610,2022-12-03
719,"4520 Bridle Run Dr, Raleigh, NC 27615","$749,900",4,3,"2,925",1,4520 Bridle Run Dr, Raleigh,NC 27615,NC,27615,2022-12-03
720,"8000 Toddwick Ct, Raleigh, NC 27616","$506,990",5,3,"2,794",8,8000 Toddwick Ct, Raleigh,NC 27616,NC,27616,2022-12-03
721,"5522 Berry Creek Cir, Raleigh, NC 27613","$420,000",3,3,"1,600",2,5522 Berry Creek Cir, Raleigh,NC 27613,NC,27613,2022-12-03
722,"618 N Boylan Ave SUITE 718, Raleigh, NC 27603","$659,900",2,2,"1,492",1,618 N Boylan Ave SUITE 718, Raleigh,NC 27603,NC,27603,2022-12-03
723,"4909 Baylor Ct, Raleigh, NC 27609","$620,000",4,3,"2,069",7,4909 Baylor Ct, Raleigh,NC 27609,NC,27609,2022-12-03
724,"609 Delany Dr, Raleigh, NC 27610","$600,000",3,2,"1,708",8,609 Delany Dr, Raleigh,NC 27610,NC,27610,2022-12-03
725,"6437 Camellia Creek Dr, Raleigh, NC 27603","$837,000",4,5,"3,920",2,6437 Camellia Creek Dr, Raleigh,NC 27603,NC,27603,2022-12-03
726,"12016 Pembridge Ln, Raleigh, NC 27613","$835,000",4,3,"2,866",1,12016 Pembridge Ln, Raleigh,NC 27613,NC,27613,2022-12-03
727,"1309 Shining Water Ln, Raleigh, NC 27614","$585,000",4,3,"2,143",1,1309 Shining Water Ln, Raleigh,NC 27614,NC,27614,2022-12-03
728,"4208 Fares Wall Ct, Raleigh, NC 27616","$699,000",4,3,"2,750",1,4208 Fares Wall Ct, Raleigh,NC 27616,NC,27616,2022-12-03
729,"3509 Deering Dr, Raleigh, NC 27616","$379,900",3,3,"1,416",1,3509 Deering Dr, Raleigh,NC 27616,NC,27616,2022-12-03
730,"4329 Lambeth Dr, Raleigh, NC 27609","$3,150,000",5,7,"5,769",1,4329 Lambeth Dr, Raleigh,NC 27609,NC,27609,2022-12-03
731,"4820 N Hills Dr, Raleigh, NC 27612","$975,000",4,5,"2,648",7,4820 N Hills Dr, Raleigh,NC 27612,NC,27612,2022-12-03
732,"6313 Stephens Ridge Ct, Raleigh, NC 27615","$1,280,000",4,4,"3,816",1,6313 Stephens Ridge Ct, Raleigh,NC 27615,NC,27615,2022-12-03
733,"5315 Collingswood Dr, Raleigh, NC 27609","$1,485,000",4,4,"3,983",1,5315 Collingswood Dr, Raleigh,NC 27609,NC,27609,2022-12-03
734,"800 Vardaman St, Raleigh, NC 27610","$329,000",3,2,"1,393",2,800 Vardaman St, Raleigh,NC 27610,NC,27610,2022-12-03
735,"8108 Harps Mill Rd, Raleigh, NC 27615","$2,495,000",4,4,"5,743",1,8108 Harps Mill Rd, Raleigh,NC 27615,NC,27615,2022-12-03
736,"3433 Honey Ivy Ln W LOT 143, Raleigh, NC 27604","$436,620",5,3,"2,653",1,3433 Honey Ivy Ln W LOT 143, Raleigh,NC 27604,NC,27604,2022-12-03
737,"1306 Regulator St, Raleigh, NC 27603","$383,000",3,3,"1,928",1,1306 Regulator St, Raleigh,NC 27603,NC,27603,2022-12-03
738,"1210 Kent Rd, Raleigh, NC 27606","$689,900",3,3,"2,620",4,1210 Kent Rd, Raleigh,NC 27606,NC,27606,2022-12-03
739,"7204 Sing Along Ct, Raleigh, NC 27613","$1,365,000",4,5,"4,456",6,7204 Sing Along Ct, Raleigh,NC 27613,NC,27613,2022-12-03
